"GO" "genes"
"isomerase activity" "ERP44/IDI1/FKBP14/PPIF/HMGCS1/FKBP9/PIN1/PPIL4/TOP2A/HSD17B4/PMM2/PIGK/PDIA6/PDIA4/TMX3/PPIB/PDIA3/ECI1/PPIC/PGAM1/P4HB/PPIA/TOP1/TXNDC5/MIF"
"chaperone binding" "HSPA5/DNAJA2/DNAJC10/DNAJA1/ERP29/ST13/AHSA1/CDC37/DNAJB6/GRPEL1/FN1/CLU/DNAJB1/TIMM10/SOD1/HSPD1/HYOU1/BAG3/STIP1/CALR"
"ligase activity" "GCLM/SARS/UBA6/KARS/IARS2/AARS/RTCB/GARS/RARS/DARS/FARSB/ACSL3/UBA2/UBA1/MCCC2/LARS/NARS/YARS/SUCLA2/EPRS/FPGS/UBA3/GMPS/QARS/FARSA/IARS"
"ubiquitin conjugating enzyme activity" "UBE3C/UBE2D1/UBE2T/UBE2A/UBE2S/UBE2G1/UBE2Z/UBE2N/UBE2G2/UBE2H/UBE2J1"
"nucleosome binding" "SMARCE1/SMARCB1/CHD4/H2AFY/HDAC1/MTA2/SMARCA5/RBBP4/H2AFZ/HIST1H1E/SMARCC1/HIST1H1B/H1FX/HIST1H1C/NOC2L/H1F0/HDAC2"
"GDP binding" "GNAI3/RAB10/RAB2A/RHEB/RAB35/RRAS/ARL3/RHOB/RALB/DYNC1LI1/RAB8B/RAB31/RAB11B/RAB12"
"oligosaccharyl transferase activity" "MAGT1/RPN2/DAD1/STT3A/STT3B/RPN1"
"ubiquitin-like protein conjugating enzyme activity" "UBE3C/UBE2D1/UBE2T/UBE2A/UBE2S/UBE2G1/UBE2Z/UBE2N/UBE2G2/UBE2H/UBE2J1"
"aminopeptidase activity" "LAP3/XPNPEP1/BLMH/METAP2/LTA4H/PEPD/TPP2/NPEPPS/MMP14/METAP1/ERAP1/RNPEP"
"electron transfer activity" "UQCRC1/ME1/P4HA2/SDHA/GSR/ETFB/UGDH/SDHB/UQCR11/FDX1/ETFA/SH3BGRL3/SDHC/UQCRQ/CYB5A/UQCRFS1/NDUFV2/ADH5/COX2"
"protein transporter activity" "SEC63/KPNA6/IPO5/VPS35/KPNA3/KPNB1/KPNA1/CSE1L/TIMM17A/TIMM10/USO1/HIKESHI/OXA1L/TOMM20/KPNA4/IPO7/TIMM23"
"protein disulfide isomerase activity" "ERP44/PIGK/PDIA6/PDIA4/TMX3/PDIA3/P4HB"
"intramolecular oxidoreductase activity, transposing S-S bonds" "ERP44/PIGK/PDIA6/PDIA4/TMX3/PDIA3/P4HB"
"magnesium ion binding" "MTHFD2/PRKACA/ENO1/PAPOLA/RHEB/NCS1/STK38/FARSB/NEK6/UBA2/DUT/TOP2A/MAP3K7/SUCLA2/PRPS1/AASDHPPT/PDXK/PRPSAP1/IDH3A/PLK1/FEN1/OXSR1/DHX36/PPA1/IDH2/PGP/OPA1/STK38L"
"snoRNA binding" "NOP58/NOP14/NOP56/UTP6/IMP4/NOLC1/TSR1/NUDT4/IMP3"
"chromatin DNA binding" "SMARCE1/SMARCB1/CHD4/H2AFY/HDAC1/ACTN4/DHX9/MTA2/RBBP4/H2AFZ/HIST1H1E/STAT3/SMARCC1/RUVBL2/HIST1H1B/H1FX/HIST1H1C/H1F0/HDAC2"
"histone deacetylase binding" "HSP90AA1/CBX5/HIF1A/YY1/CCND1/CHD4/HDAC1/SFPQ/TOP2A/HNRNPD/PARP1/MTA2/RBBP4/NUDT21/HDAC3/BRMS1/DHX36/HIST1H1B/HDAC2"
"heat shock protein binding" "PPP5C/TOMM34/HSPA5/TPR/DNAJA2/DNAJC10/DNAJA1/ST13/AHSA1/HIF1A/CDC37/DNAJB6/KPNB1/HSPA9/DNAJC8/DNAJB1/HIKESHI/HSPA13/DNAJC7/STIP1/HDAC2"
"metalloexopeptidase activity" "LAP3/ZMPSTE24/AEBP1/XPNPEP1/CPD/METAP2/LTA4H/PEPD/NPEPPS/MMP14/METAP1/ERAP1/RNPEP"
"ATP-dependent helicase activity" "MTREX/MCM6/XRCC5/DDX1/DDX18/DDX5/DHX15/CHD4/ASCC3/DHX9/EIF4A3/SNRNP200/G3BP1/EIF4A1/DHX36/RUVBL2"
"purine NTP-dependent helicase activity" "MTREX/MCM6/XRCC5/DDX1/DDX18/DDX5/DHX15/CHD4/ASCC3/DHX9/EIF4A3/SNRNP200/G3BP1/EIF4A1/DHX36/RUVBL2"
"ATPase activity, coupled" "PSMC4/MTREX/HSPA5/RFC2/ATP2B1/MCM6/DYNC1I2/XRCC5/DDX1/HSP90AA1/PSMC5/DDX18/DDX17/MYH9/PSMC6/DDX5/DHX15/ATP5F1B/GTF2H3/CHD4/ASCC3/TMEM30A/HSPA9/ATP6V0B/ABCD3/CLPP/MYO1B/ATP6V1E1/TOP2A/DHX9/EIF4A3/SNRNP200/G3BP1/ATP6V1B2/ATP6V1C1/HSPA13/PSMC2/EIF4A1/RBBP4/ANXA5/DHX36/RUVBL2/DYNC1H1/MYO1C"
"signal sequence binding" "KPNA6/IPO5/TNPO1/KPNA3/KPNB1/NUP98/KPNA1/KDELR2/NOLC1/SRP68/TOMM20"
"helicase activity" "MTREX/MCM2/MCM6/XRCC5/DDX1/DDX18/DDX17/MCM5/EIF4H/DDX58/DDX5/DHX15/CHD4/ASCC3/DHX9/EIF4A3/SNRNP200/G3BP1/SMARCA5/EIF4A1/DHX36/RUVBL2/DDX47"
"nuclear localization sequence binding" "KPNA6/IPO5/TNPO1/KPNA3/KPNB1/NUP98/KPNA1/NOLC1"
"disulfide oxidoreductase activity" "DNAJC10/TXNL1/PGK1/GSR/SH3BGRL3/PDIA6/PDIA4/PDIA3/NXN/P4HB"
"tRNA binding" "NSUN2/KARS/IARS2/AARS/RARS/YARS/EEF1A1/AIMP1/TRMT10C/FARSA/IARS/YRDC"
"oxidoreductase activity, acting on a sulfur group of donors" "DNAJC10/TXNL1/PGK1/GSR/SH3BGRL3/PDIA6/PDIA4/PRDX3/TMX3/PDIA3/NXN/P4HB"
"exopeptidase activity" "LAP3/ZMPSTE24/AEBP1/XPNPEP1/BLMH/CPD/METAP2/LTA4H/SCPEP1/PEPD/CNDP2/TPP2/NPEPPS/MMP14/METAP1/ERAP1/RNPEP"
"platelet-derived growth factor binding" "COL1A1/COL5A1/COL6A1/COL1A2/COL4A1"
"AU-rich element binding" "ELAVL1/EXOSC7/KHSRP/TIA1/EXOSC8/HNRNPD/NUDT21/DHX36"
"catalytic activity, acting on a tRNA" "SARS/NSUN2/KARS/IARS2/AARS/GARS/RARS/DARS/FARSB/LARS/NARS/YARS/EPRS/TRMT61A/MRPL58/QARS/TRMT10C/FARSA/PTRHD1/IARS"
"metalloaminopeptidase activity" "XPNPEP1/METAP2/LTA4H/NPEPPS/MMP14/METAP1/ERAP1"
"single-stranded DNA binding" "MCM6/SMC4/RAD23B/HNRNPA2B1/DHX9/RTF1/LRPPRC/HSPD1/FUBP1/NUP35/HMGB2/DHX36/RAD23A/HMGB1/TOP1/TSN"
"intramolecular oxidoreductase activity" "ERP44/IDI1/PIGK/PDIA6/PDIA4/TMX3/PDIA3/ECI1/P4HB/MIF"
"ATPase regulator activity" "DNAJA2/DNAJC10/DNAJA1/AHSA1/DNAJB6/PFN1/GRPEL1/DNAJB1/BAG3/DNAJC7"
"RNA helicase activity" "MTREX/DDX1/DDX18/DDX17/DDX5/DHX15/DHX9/EIF4A3/SNRNP200/G3BP1/EIF4A1/DHX36"
"mRNA binding" "RBM5/TPR/YBX3/ELAVL1/PABPC1/KHSRP/EIF3D/CSTF2/HNRNPL/EIF3A/C1QBP/DDX5/EIF4G2/RPS13/NUP98/NCL/SF3B1/SRSF4/RBM25/TARDBP/RPL5/HNRNPA2B1/GRSF1/DHX9/TRA2B/NCBP1/HNRNPD/DENR/RBM26/EIF4A3/RPL13A/HNRNPLL/G3BP1/CCT5/NOCT/CARHSP1/EIF4A1/NUDT21/DHX36/CSTF3/CALR/HNRNPAB/TSN/RBM8A"
"coenzyme binding" "KDM1A/AGPS/ME1/P4HA2/SDHA/PLOD1/HADHA/CYB5R3/SPTLC2/PYGB/SQLE/GSR/PLOD3/UGDH/GAPDH/DHCR24/P3H1/GOT1/GOT2/NDUFA9/ETFA/PGD/PARP1/PLOD2/CYB5R1/PDXK/IDH3A/FASN/IDH2/ACBD3/ACBD6"
"extracellular matrix structural constituent conferring tensile strength" "COL16A1/COL1A1/COL5A1/COL4A2/COL6A1/COL6A3/COL1A2/COL4A1/COL5A2"
"RNA-dependent ATPase activity" "MTREX/DDX18/DDX17/DDX5/DHX15/DHX9/EIF4A3/SNRNP200/G3BP1/EIF4A1/DHX36"
"ribosome binding" "HSPA5/NAA10/C1QBP/RPN2/PELO/OXA1L/EIF5A2/NAA15/EEF2/SRP68/SRP72"
"histone deacetylase activity" "KDM1A/HMG20B/CHD4/HDAC1/MTA2/RBBP4/HDAC3/BRMS1/HDAC2"
"structural constituent of nuclear pore" "NUP160/TPR/NDC1/NUP133/NUP88/NUP98/NUP35"
"protein deacetylase activity" "KDM1A/HMG20B/CHD4/HDAC1/MTA2/RBBP4/HDAC3/BRMS1/HDAC2"
"NF-kappaB binding" "HDAC1/MTDH/HIF1AN/HDAC3/BRMS1/HDAC2/ANXA4"
"mRNA 3'-UTR binding" "YBX3/ELAVL1/PABPC1/KHSRP/HNRNPL/DDX5/TARDBP/RPL5/HNRNPA2B1/HNRNPD/CCT5/CARHSP1/DHX36"
"peptidyl-prolyl cis-trans isomerase activity" "FKBP14/PPIF/FKBP9/PIN1/PPIL4/PPIB/PPIC/PPIA"
"hormone receptor binding" "KDM1A/MED17/THRAP3/SMARCE1/PSMC5/HIF1A/PRPF6/BUD31/DDX5/ACTN4/MED4/GTF2B/RB1/PARP1/UBA3/JAK1/DCAF13/STAT3/TAF7/CALR/PTPN11/PHB2"
"translation elongation factor activity" "HBS1L/EEF1A1/EIF5A2/EEF2/TUFM/EEF1G"
"peptide disulfide oxidoreductase activity" "GSR/PDIA6/PDIA4/PDIA3/P4HB"
