Entry	Gene names
H0YJU2	AHSA1
O95433	AHSA1 C14orf3 HSPC322
A0A140VK94	RANBP1 hCG_17886
B3KUP2	RANBP1 hCG_17886
C9JDM3	RANBP1
C9JGV6	RANBP1
C9JIC6	RANBP1
C9JJ34	RANBP1
C9JXG8	RANBP1
D3DX26	RANBP1 hCG_17886
F6WQW2	RANBP1
F8WCY3	RANBP1
P43487	RANBP1
A0A087X0S5	COL6A1
A0A384P5H7	COL6A1 hCG_401279
D3DSM7	COL6A1 hCG_401279
P12109	COL6A1
Q05BT9	COL6A1
L0R533	RLIM hCG_1811491
Q9NVW2	RLIM RNF12
F5GWW2	LDHA
F5GXC7	LDHA
F5GXH2	LDHA
F5GXU1	LDHA
F5GXY2	LDHA
F5GYU2	LDHA
F5GZQ4	LDHA
F5H5J4	LDHA
F5H6W8	LDHA
F5H8H6	LDHA
P00338	LDHA PIG19
D6R927	RBPJ
D6R946	RBPJ
D6R9K5	RBPJ
D6R9X3	RBPJ
D6RA45	RBPJ
D6RAT2	RBPJ
D6RB37	RBPJ
D6RBQ8	RBPJ
D6RCM1	RBPJ
D6RE93	RBPJ
D6REC2	RBPJ
D6REP3	RBPJ
D6RF98	RBPJ
D6RIV8	RBPJ
D6RIZ8	RBPJ
H0Y8R3	RBPJ
L8E7S3	RBPJ
Q06330	RBPJ IGKJRB IGKJRB1 RBPJK RBPSUH
C9J5D8	MRPS22
G5E9V5	MRPS22 hCG_17223
G5E9W7	MRPS22 hCG_17223
H7C5F2	MRPS22
H7C5H3	MRPS22
H7C5L9	MRPS22
P82650	MRPS22 C3orf5 RPMS22 GK002
Q96Q16	MRPS22
A0A024RD15	MAPK14 hCG_1818055
B4E0K5	MAPK14
B5TY33	MAPK14
E7EX54	MAPK14
H7C4E2	MAPK14
L7RSM2	MAPK14 hCG_1818055
Q16539	MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A
F8WBS6	PDIA3
F8WBW5	PDIA3
H7BZJ3	PDIA3
L8EAE7	PDIA3
P30101	PDIA3 ERP57 ERP60 GRP58
H3BNA1	USP10
H3BNL0	USP10
H3BNP1	USP10
H3BNS8	USP10
H3BQC6	USP10
H3BQP1	USP10
H3BVF1	USP10
J3KT19	USP10
Q14694	USP10 KIAA0190
Q68D90	USP10 DKFZp686E14181
Q6P2I0	USP10
Q8NFA0	USP32 USP10
A0A024R056	GNB1 hCG_23470
A0A2L0WW42	GNB1
B1AKQ8	GNB1
B3KVK2	GNB1
F6UT28	GNB1
F6X3N5	GNB1
L8E8V9	GNB1
P62873	GNB1
B4E1E4	EIF4E2
B8ZZ50	EIF4E2
B8ZZL3	EIF4E2
B9A023	EIF4E2
B9A044	EIF4E2
C9JEL3	EIF4E2
H7BZH2	EIF4E2
O60573	EIF4E2 EIF4EL3
Q53RG0	tmp_locus_9 EIF4E2 hCG_33450
A0A3Q8AIR8	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3Q8AIS2	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3Q8AIS5	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3Q8AIS8	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3Q8AM22	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3Q8AM27	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3Q8APW9	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3Q8APX7	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3Q8APY3	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3Q8ATF5	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3Q8ATG4	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3Q8AX88	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3Q8AX95	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3Q8B022	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3Q8B027	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3Q8B032	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3Q8B4M4	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3Q8B4N0	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3Q8B9M1	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3Q8B9M7	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3Q8BCI7	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3Q8BCJ2	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3S6H758	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3S6H761	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3S6H765	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3S6H767	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3S6H7E4	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3S6H7E9	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3S6H7G3	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3S6H7K8	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3S6H7W7	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3S6H7X4	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3S6H7X9	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3S6H7Y4	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3S6H7Y8	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3S6H7Z6	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3S6H812	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3S6H824	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3S6H8A6	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3S6H8B5	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3S6H8V5	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3S6H8W3	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3S6H942	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3S6H950	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
A0A3S6H960	PRMT1 ANM1 HCP1 HRMT1L2 IR1B4
E9PIE2	PRMT1
E9PIX6	PRMT1
E9PKG1	PRMT1
E9PMW9	PRMT1
E9PMZ2	PRMT1
E9PNR9	PRMT1
E9PQ98	PRMT1
H0YDE4	PRMT1
Q99873	PRMT1 HMT2 HRMT1L2 IR1B4
H9KV77	COPRS
J3QRX4	COPRS
J3QRX6	COPRS
J3QRX9	COPRS
Q9NQ92	COPRS C17orf79 COPR5
C9JW37	PSMD14
O00487	PSMD14 POH1
Q4ZG77	PSMD14
Q53TH1	PSMD14
B7Z2L8	CCDC25
E5RI21	CCDC25
G3V121	CCDC25 hCG_17286
Q0VGD4	CCDC25
Q6PK69	CCDC25
Q7Z5U5	CCDC25
Q86WR0	CCDC25
Q9UNW1	MINPP1 MIPP UNQ900/PRO1917
C9J0L6	ECT2
C9J1C4	ECT2
C9JB41	ECT2
C9JDB4	ECT2
C9JDV9	ECT2
C9JTI2	ECT2
H7C103	ECT2
H7C3G1	ECT2
Q9H8V3	ECT2
A0A087WVD9	GUCD1
B5MCF3	GUCD1
E7EX77	GUCD1
E9PGZ7	GUCD1
Q96NT3	GUCD1 C22orf13 LLN4
D3DR24	EXT2 hCG_1811183
E9PJA5	EXT2
E9PNL9	EXT2
Q6NUL1	EXT2
Q93063	EXT2
A0PJJ5	SRP72
D6RDY6	SRP72
O76094	SRP72
Q0D2M6	SRP72
Q86X80	SRP72
R4GNC1	SRP72
V9HWK0	HEL103 SRP72 hCG_2027162
M0QYW5	DAPK3
M0QYY8	DAPK3
M0R0D0	DAPK3
O43293	DAPK3 ZIPK
A0A024R1Z1	CDC34 hCG_20568
P49427	CDC34 UBCH3 UBE2R1
U3KPV8	CDC34
U3KQ77	CDC34
U3KQP9	CDC34
C9JXH1	FIS1
F5H509	FIS1
F5H8A8	FIS1
F8WBT1	FIS1
F8WD11	FIS1
Q9Y3D6	FIS1 TTC11 CGI-135
A5YM53	ITGAV
H7BZG1	ITGAV
L7RXH0	ITGAV
P06756	ITGAV MSK8 VNRA VTNR
A4D0Z3	ARF5 hCG_32325 tcag7.6
C9J1Z8	ARF5
P84085	ARF5
A0A024R7X9	UBE2W hCG_1641625
E5RG25	UBE2W
H0YB73	UBE2W
Q96B02	UBE2W UBC16
Q96FI0	UBE2W
X6REH9	UBE2W
C9J296	LAMB1
E7EPA6	LAMB1
E9PCS6	LAMB1
G3XAI2	LAMB1 hCG_17112
L8E7Q3	LAMB1
P07942	LAMB1
Q75MC8	LAMB1
Q8TAS6	LAMB1
A0A0A0MR13	GNAS
A0A0S2Z3H8	GNAS
A0A0S2Z3S5	GNAS
A0A1W2PPB2	GNAS
A2A2R6	GNAS
A2A2S1	GNAS
B0AZR9	GNAS hCG_1788380
H0UI78	GNAS hCG_1788380
H0Y7E8	GNAS
H0Y7F4	GNAS
H0Y7Z6	GNAS
O95467	GNAS GNAS1
P63092	GNAS GNAS1 GSP
P84996	GNAS GNAS1
Q5FWY2	GNAS
Q5JWD1	GNAS
Q5JWE9	GNAS
Q5JWF2	GNAS GNAS1
S4R3E3	GNAS
S4R3V9	GNAS
X6R7U9	GNAS
A0A024R0H1	SLC16A1 hCG_37455
P53985	SLC16A1 MCT1
Q5T8R3	SLC16A1
Q5T8R4	SLC16A1
Q5T8R5	SLC16A1 hCG_37455
A0A0A0MRP6	SMARCA1
B7ZLQ5	SMARCA1 hCG_1980650
P28370	SMARCA1 SNF2L SNF2L1
Q86UA8	SMARCA1
C9IYM2	XPO1
C9IZS4	XPO1
C9J673	XPO1
C9JF49	XPO1
C9JKM9	XPO1
C9JQ02	XPO1
C9JV99	XPO1
F8WF71	XPO1
H7BZC5	XPO1
O14980	XPO1 CRM1
A0A024R8E5	COL5A1 hCG_2021790
B2ZZ86	COL5A1
H7BY82	COL5A1
L8E771	COL5A1
P20908	COL5A1
Q9UML4	COL5A1
P49006	MARCKSL1 MLP MRP
P03915	MT-ND5 MTND5 NADH5 ND5
A0A0S2Z492	MCM3
A0A0S2Z4T1	MCM3
J3KQ69	MCM3
M0QYS9	MCM3
P25205	MCM3
Q7Z6P5	MCM3
D6R909	RACK1
D6R9L0	RACK1
D6R9Z1	RACK1
D6RAC2	RACK1
D6RAU2	RACK1
D6RBD0	RACK1
D6RDI0	RACK1
D6REE5	RACK1
D6RF23	RACK1
D6RFX4	RACK1
D6RFZ9	RACK1
D6RGK8	RACK1
D6RHH4	RACK1
D6RHJ5	RACK1
E9PD14	RACK1
H0Y8R5	RACK1
H0Y8W2	RACK1
H0Y9P0	RACK1
H0YAF8	RACK1
H0YAM7	RACK1
J3KPE3	RACK1
P63244	RACK1 GNB2L1 HLC7 PIG21
Q15427	SF3B4 SAP49
Q5SZ64	SF3B4 RP11-196G18.20-002
A0A087WZN1	IDH3B hCG_39616
A0A087X2E5	IDH3B
A0A0D9SET9	IDH3B
A0A0D9SG66	IDH3B
L0R875	IDH3B
O43837	IDH3B
A0A0A0MRL0	ILF2
B4DY09	ILF2
Q12905	ILF2 NF45 PRO3063
X6R6Z1	ILF2
B1APE1	GTF2B
B1APE2	GTF2B
Q00403	GTF2B TF2B TFIIB
F8VRG3	TWF1
F8VS81	TWF1
F8W1D0	TWF1
F8W1Q9	TWF1
F8W645	TWF1
Q12792	TWF1 PTK9
A8MWP7	NAA10
C9JN83	NAA10
C9JW55	NAA10
F8W808	NAA10
P41227	NAA10 ARD1 ARD1A TE2
B4DNG0	OLFML3
M1LAK4	OLFML3 hCG_38642
Q9NRN5	OLFML3 PSEC0035 PSEC0173 PSEC0244 UNQ663/PRO1294
Q08211	DHX9 DDX9 LKP NDH2
Q58F26	DHX9
Q6PJK6	DHX9
A0A140TA71	GART
C9JBJ1	GART
C9JKQ7	GART
C9JTV6	GART
C9JZG2	GART
F8WD69	GART
H7C366	GART
P22102	GART PGFT PRGS
Q3B7A7	GART
Q71VH3	GART
A0A0C4DGK8	APEX1
G3V2D9	APEX1
G3V359	APEX1
G3V3C7	APEX1
G3V3M6	APEX1
G3V3Y6	APEX1
G3V574	APEX1
G3V5D9	APEX1
G3V5M0	APEX1
G3V5Q1	APEX1
H7C4A8	APEX1
P27695	APEX1 APE APE1 APEX APX HAP1 REF1
Q5TZP7	APEX1 hCG_40473
O60739	EIF1B
Q6FG85	GC20 EIF1B hCG_16417
A0A024R5G1	EFEMP2 hCG_2019682
E9PI47	EFEMP2
E9PKA3	EFEMP2
E9PNB8	EFEMP2
E9PRQ8	EFEMP2
E9PRU1	EFEMP2
E9PSC1	EFEMP2
H0YCB5	EFEMP2
H0YCR9	EFEMP2
H0YET5	EFEMP2
H0YEU0	EFEMP2
O95967	EFEMP2 FBLN4 UNQ200/PRO226
Q6FH22	EFEMP2
E9PLM2	RCN1
H0YDA4	RCN1
H0YER5	RCN1
Q15293	RCN1 RCN
A0A024R0Q4	PLD3 hCG_1995506
A0A0A0MS28	PLD3
E2QRG1	PLD3
M0QX50	PLD3
M0QX99	PLD3
M0QY94	PLD3
M0QYJ4	PLD3
M0QZK2	PLD3
M0R1F7	PLD3
M0R2E7	PLD3
M0R2W7	PLD3
M0R3G9	PLD3
Q8IV08	PLD3
B1AMU3	EXOSC1
B1AMU4	EXOSC1
B1AMU7	EXOSC1
Q9Y3B2	EXOSC1 CSL4 CGI-108
R4GMQ7	EXOSC1
