Transcript	Gene
ENSDART00000083085	ENSDARG00000059642
ENSDART00000081343	ENSDARG00000058471
ENSDART00000053472	ENSDARG00000036831
ENSDART00000076479	ENSDARG00000054312
ENSDART00000111037	ENSDARG00000095287
ENSDART00000078378	ENSDARG00000055966
ENSDART00000109858	ENSDARG00000074379
ENSDART00000010052	ENSDARG00000007409
ENSDART00000033617	ENSDARG00000024904
ENSDART00000150747	ENSDARG00000096099
ENSDART00000010564	ENSDARG00000017928
ENSDART00000017805	ENSDARG00000020872
ENSDART00000103484	ENSDARG00000045880
ENSDART00000104491	ENSDARG00000057986
ENSDART00000024647	ENSDARG00000011605
ENSDART00000137844	ENSDARG00000060980
ENSDART00000077941	ENSDARG00000055566
ENSDART00000150899	ENSDARG00000060298
ENSDART00000151125	ENSDARG00000033012
ENSDART00000076362	ENSDARG00000054208
ENSDART00000012820	ENSDARG00000008395
ENSDART00000137070	ENSDARG00000025846
ENSDART00000084914	ENSDARG00000060338
ENSDART00000088777	ENSDARG00000061890
ENSDART00000067843	ENSDARG00000046141
ENSDART00000139050	ENSDARG00000057743
ENSDART00000015323	ENSDARG00000007477
ENSDART00000008607	ENSDARG00000010727
ENSDART00000115370	ENSDARG00000077863
ENSDART00000146554	ENSDARG00000071250
ENSDART00000005025	ENSDARG00000004392
ENSDART00000030357	ENSDARG00000022001
ENSDART00000092116	ENSDARG00000063191
ENSDART00000088545	ENSDARG00000061786
ENSDART00000004959	ENSDARG00000006145
ENSDART00000057742	ENSDARG00000039521
ENSDART00000075184	ENSDARG00000071031
ENSDART00000121699	ENSDARG00000012718
ENSDART00000100375	ENSDARG00000069130
ENSDART00000078066	ENSDARG00000035868
ENSDART00000088177	ENSDARG00000061656
ENSDART00000127955	ENSDARG00000091771
ENSDART00000151298	ENSDARG00000061081
ENSDART00000139151	ENSDARG00000035660
ENSDART00000100458	ENSDARG00000069168
ENSDART00000091813	ENSDARG00000063079
ENSDART00000111863	ENSDARG00000078807
ENSDART00000047419	ENSDARG00000033872
ENSDART00000086533	ENSDARG00000061039
ENSDART00000144560	ENSDARG00000035564
ENSDART00000073892	ENSDARG00000052109
ENSDART00000064194	ENSDARG00000043713
ENSDART00000145867	ENSDARG00000076939
ENSDART00000138524	ENSDARG00000088146
ENSDART00000065503	ENSDARG00000044596
ENSDART00000098285	ENSDARG00000068096
ENSDART00000111666	ENSDARG00000074697
ENSDART00000092953	ENSDARG00000032116
ENSDART00000089516	ENSDARG00000062142
ENSDART00000091140	ENSDARG00000062770
ENSDART00000053534	ENSDARG00000036868
ENSDART00000124059	ENSDARG00000060093
ENSDART00000103365	ENSDARG00000052334
ENSDART00000142997	ENSDARG00000062139
ENSDART00000013497	ENSDARG00000008859
ENSDART00000109221	ENSDARG00000079241
ENSDART00000002867	ENSDARG00000019746
ENSDART00000003482	ENSDARG00000014348
ENSDART00000044876	ENSDARG00000030064
ENSDART00000056642	ENSDARG00000038787
ENSDART00000033132	ENSDARG00000026762
ENSDART00000132939	ENSDARG00000011493
ENSDART00000015780	ENSDARG00000014161
ENSDART00000144074	ENSDARG00000093658
ENSDART00000114528	ENSDARG00000074623
ENSDART00000048273	ENSDARG00000031637
ENSDART00000105721	ENSDARG00000071478
ENSDART00000111806	ENSDARG00000063385
ENSDART00000143972	ENSDARG00000062650
ENSDART00000124452	ENSDARG00000000019
ENSDART00000140290	ENSDARG00000027187
ENSDART00000139824	ENSDARG00000035535
ENSDART00000136103	ENSDARG00000088318
ENSDART00000032306	ENSDARG00000006399
ENSDART00000136215	ENSDARG00000070046
ENSDART00000134635	ENSDARG00000093997
ENSDART00000010512	ENSDARG00000011026
ENSDART00000109282	ENSDARG00000078492
ENSDART00000128975	ENSDARG00000089791
ENSDART00000057983	ENSDARG00000039667
ENSDART00000092180	ENSDARG00000063211
ENSDART00000129302	ENSDARG00000020607
ENSDART00000008096	ENSDARG00000005612
ENSDART00000099046	ENSDARG00000036489
ENSDART00000055338	ENSDARG00000037966
ENSDART00000148105	ENSDARG00000057929
ENSDART00000007482	ENSDARG00000005015
ENSDART00000021060	ENSDARG00000010432
ENSDART00000054691	ENSDARG00000037559
ENSDART00000081016	ENSDARG00000058203
ENSDART00000140336	ENSDARG00000056665
ENSDART00000073708	ENSDARG00000051983
ENSDART00000108820	ENSDARG00000075395
ENSDART00000145255	ENSDARG00000054748
ENSDART00000047211	ENSDARG00000031632
ENSDART00000127639	ENSDARG00000007915
ENSDART00000078014	ENSDARG00000092305
ENSDART00000086592	ENSDARG00000061030
ENSDART00000021394	ENSDARG00000010905
ENSDART00000010189	ENSDARG00000027423
ENSDART00000054867	ENSDARG00000092609
ENSDART00000100619	ENSDARG00000019765
ENSDART00000040538	ENSDARG00000040874
ENSDART00000017686	ENSDARG00000003051
ENSDART00000040362	ENSDARG00000000857
ENSDART00000101109	ENSDARG00000056803
ENSDART00000004504	ENSDARG00000016153
ENSDART00000098590	ENSDARG00000056281
ENSDART00000081183	ENSDARG00000058322
ENSDART00000058336	ENSDARG00000039880
ENSDART00000141262	ENSDARG00000094839
ENSDART00000105600	ENSDARG00000022177
ENSDART00000005573	ENSDARG00000074248
ENSDART00000148763	ENSDARG00000037943
ENSDART00000067666	ENSDARG00000046022
ENSDART00000003418	ENSDARG00000006235
ENSDART00000131369	ENSDARG00000091879
ENSDART00000109148	ENSDARG00000008560
ENSDART00000064878	ENSDARG00000044191
ENSDART00000145748	ENSDARG00000074967
ENSDART00000061617	ENSDARG00000042045
ENSDART00000134890	ENSDARG00000038156
ENSDART00000030643	ENSDARG00000027658
ENSDART00000101200	ENSDARG00000034605
ENSDART00000101992	ENSDARG00000069852
ENSDART00000006783	ENSDARG00000020363
ENSDART00000023463	ENSDARG00000013082
ENSDART00000059354	ENSDARG00000040559
ENSDART00000083690	ENSDARG00000059857
ENSDART00000114464	ENSDARG00000073872
ENSDART00000057421	ENSDARG00000039299
ENSDART00000141771	ENSDARG00000038566
ENSDART00000100904	ENSDARG00000069378
ENSDART00000001803	ENSDARG00000001557
ENSDART00000039165	ENSDARG00000057699
ENSDART00000089539	ENSDARG00000062148
ENSDART00000105326	ENSDARG00000071294
ENSDART00000038990	ENSDARG00000020625
ENSDART00000146314	ENSDARG00000009953
ENSDART00000081411	ENSDARG00000058533
ENSDART00000073841	ENSDARG00000023499
ENSDART00000128588	ENSDARG00000019572
ENSDART00000011865	ENSDARG00000019360
ENSDART00000137024	ENSDARG00000069917
ENSDART00000009838	ENSDARG00000019897
ENSDART00000133023	ENSDARG00000045075
ENSDART00000134293	ENSDARG00000028379
ENSDART00000014046	ENSDARG00000006719
ENSDART00000148403	ENSDARG00000044056
ENSDART00000022279	ENSDARG00000013719
ENSDART00000143203	ENSDARG00000079202
ENSDART00000015170	ENSDARG00000004939
ENSDART00000132209	ENSDARG00000036100
ENSDART00000002930	ENSDARG00000017427
ENSDART00000029387	ENSDARG00000022232
ENSDART00000066961	ENSDARG00000045540
ENSDART00000057507	ENSDARG00000039350
ENSDART00000066863	ENSDARG00000045463
ENSDART00000134598	ENSDARG00000074611
ENSDART00000147210	ENSDARG00000018853
ENSDART00000079194	ENSDARG00000056664
ENSDART00000077728	ENSDARG00000055385
ENSDART00000092690	ENSDARG00000063438
ENSDART00000147778	ENSDARG00000004132
ENSDART00000040033	ENSDARG00000016010
ENSDART00000124502	ENSDARG00000044299
ENSDART00000147597	ENSDARG00000021556
ENSDART00000041394	ENSDARG00000034633
ENSDART00000021145	ENSDARG00000015856
ENSDART00000135464	ENSDARG00000059028
ENSDART00000043843	ENSDARG00000030871
ENSDART00000142895	ENSDARG00000091198
ENSDART00000020575	ENSDARG00000014147
ENSDART00000127923	ENSDARG00000059097
ENSDART00000113179	ENSDARG00000074554
ENSDART00000018726	ENSDARG00000014134
ENSDART00000137782	ENSDARG00000019636
ENSDART00000053300	ENSDARG00000036698
ENSDART00000024815	ENSDARG00000012432
ENSDART00000138849	ENSDARG00000000887
ENSDART00000137924	ENSDARG00000029292
ENSDART00000007392	ENSDARG00000018627
ENSDART00000016265	ENSDARG00000008485
ENSDART00000065091	ENSDARG00000044203
ENSDART00000131829	ENSDARG00000063344
ENSDART00000032494	ENSDARG00000012039
ENSDART00000149047	ENSDARG00000089456
ENSDART00000080803	ENSDARG00000058021
ENSDART00000050912	ENSDARG00000035149
ENSDART00000104933	ENSDARG00000071116
ENSDART00000013296	ENSDARG00000011999
ENSDART00000144406	ENSDARG00000023678
ENSDART00000123409	ENSDARG00000087145
ENSDART00000035478	ENSDARG00000023527
ENSDART00000040443	ENSDARG00000032263
ENSDART00000114446	ENSDARG00000073737
ENSDART00000132696	ENSDARG00000060853
ENSDART00000084570	ENSDARG00000060199
ENSDART00000012919	ENSDARG00000021022
ENSDART00000055047	ENSDARG00000037777
ENSDART00000146171	ENSDARG00000052244
ENSDART00000135493	ENSDARG00000073696
ENSDART00000060809	ENSDARG00000041481
ENSDART00000006703	ENSDARG00000013122
ENSDART00000139871	ENSDARG00000015863
ENSDART00000103887	ENSDARG00000070623
ENSDART00000059619	ENSDARG00000040695
ENSDART00000042514	ENSDARG00000006420
ENSDART00000078024	ENSDARG00000055635
ENSDART00000089120	ENSDARG00000062002
ENSDART00000149155	ENSDARG00000069619
ENSDART00000125271	ENSDARG00000071013
ENSDART00000108775	ENSDARG00000018000
ENSDART00000055385	ENSDARG00000038000
ENSDART00000081661	ENSDARG00000058728
ENSDART00000131268	ENSDARG00000092463
ENSDART00000108718	ENSDARG00000076509
ENSDART00000050597	ENSDARG00000029671
ENSDART00000028016	ENSDARG00000006283
ENSDART00000005263	ENSDARG00000014463
ENSDART00000013865	ENSDARG00000004280
ENSDART00000065337	ENSDARG00000044491
ENSDART00000060283	ENSDARG00000041125
ENSDART00000046042	ENSDARG00000030116
ENSDART00000089339	ENSDARG00000062083
ENSDART00000012234	ENSDARG00000012946
ENSDART00000047444	ENSDARG00000031954
ENSDART00000033878	ENSDARG00000025226
ENSDART00000073970	ENSDARG00000052170
ENSDART00000139002	ENSDARG00000077607
ENSDART00000081154	ENSDARG00000058306
ENSDART00000146175	ENSDARG00000058000
ENSDART00000012855	ENSDARG00000005945
ENSDART00000089725	ENSDARG00000062226
ENSDART00000110102	ENSDARG00000031001
ENSDART00000088023	ENSDARG00000005867
ENSDART00000136361	ENSDARG00000002748
ENSDART00000080709	ENSDARG00000068763
ENSDART00000023709	ENSDARG00000035676
ENSDART00000062552	ENSDARG00000042642
ENSDART00000008698	ENSDARG00000011312
ENSDART00000101986	ENSDARG00000069850
ENSDART00000020259	ENSDARG00000013784
ENSDART00000067736	ENSDARG00000046074
ENSDART00000105316	ENSDARG00000071288
ENSDART00000132164	ENSDARG00000013434
ENSDART00000044462	ENSDARG00000024844
ENSDART00000137178	ENSDARG00000061651
ENSDART00000066999	ENSDARG00000045563
ENSDART00000007914	ENSDARG00000004692
ENSDART00000041992	ENSDARG00000011770
ENSDART00000073751	ENSDARG00000052022
ENSDART00000064614	ENSDARG00000044011
ENSDART00000007675	ENSDARG00000003127
ENSDART00000131298	ENSDARG00000005642
ENSDART00000130549	ENSDARG00000055389
ENSDART00000061557	ENSDARG00000042005
ENSDART00000078316	ENSDARG00000055912
ENSDART00000102952	ENSDARG00000070256
ENSDART00000019581	ENSDARG00000003616
ENSDART00000019699	ENSDARG00000012827
ENSDART00000129906	ENSDARG00000056856
ENSDART00000025326	ENSDARG00000008370
ENSDART00000135776	ENSDARG00000035325
ENSDART00000109541	ENSDARG00000077409
ENSDART00000077938	ENSDARG00000055561
ENSDART00000139339	ENSDARG00000092954
ENSDART00000104444	ENSDARG00000054458
ENSDART00000039109	ENSDARG00000037633
ENSDART00000079928	ENSDARG00000057303
ENSDART00000035939	ENSDARG00000025285
ENSDART00000059285	ENSDARG00000040505
ENSDART00000039847	ENSDARG00000033376
ENSDART00000098833	ENSDARG00000068367
ENSDART00000009298	ENSDARG00000018825
ENSDART00000014632	ENSDARG00000005456
ENSDART00000127729	ENSDARG00000086906
ENSDART00000129598	ENSDARG00000032327
ENSDART00000048640	ENSDARG00000028976
ENSDART00000054744	ENSDARG00000037593
ENSDART00000052323	ENSDARG00000036038
ENSDART00000150389	ENSDARG00000068705
ENSDART00000023094	ENSDARG00000018968
ENSDART00000061735	ENSDARG00000042123
ENSDART00000129903	ENSDARG00000086786
ENSDART00000066929	ENSDARG00000045513
ENSDART00000127623	ENSDARG00000019239
ENSDART00000124514	ENSDARG00000089861
ENSDART00000010626	ENSDARG00000001777
ENSDART00000146735	ENSDARG00000058219
ENSDART00000080094	ENSDARG00000057423
ENSDART00000085402	ENSDARG00000060541
ENSDART00000131042	ENSDARG00000090704
ENSDART00000011691	ENSDARG00000020623
ENSDART00000077835	ENSDARG00000055474
ENSDART00000012445	ENSDARG00000037813
ENSDART00000046712	ENSDARG00000029479
ENSDART00000031676	ENSDARG00000023591
ENSDART00000128815	ENSDARG00000089291
ENSDART00000039386	ENSDARG00000023303
ENSDART00000142112	ENSDARG00000093945
ENSDART00000032331	ENSDARG00000023498
ENSDART00000114136	ENSDARG00000077265
ENSDART00000103925	ENSDARG00000070643
ENSDART00000132183	ENSDARG00000045951
ENSDART00000139297	ENSDARG00000071570
ENSDART00000059327	ENSDARG00000040538
ENSDART00000058383	ENSDARG00000039913
ENSDART00000083539	ENSDARG00000079716
ENSDART00000131212	ENSDARG00000043718
ENSDART00000061203	ENSDARG00000056328
ENSDART00000054626	ENSDARG00000037514
ENSDART00000049464	ENSDARG00000020242
ENSDART00000018840	ENSDARG00000011666
ENSDART00000137672	ENSDARG00000062244
ENSDART00000064975	ENSDARG00000044255
ENSDART00000122014	ENSDARG00000036115
ENSDART00000026903	ENSDARG00000001769
ENSDART00000133943	ENSDARG00000038879
ENSDART00000033369	ENSDARG00000026534
ENSDART00000100352	ENSDARG00000034768
ENSDART00000005893	ENSDARG00000015292
ENSDART00000025604	ENSDARG00000012458
ENSDART00000100744	ENSDARG00000069301
ENSDART00000111566	ENSDARG00000078789
ENSDART00000149061	ENSDARG00000095974
ENSDART00000151060	ENSDARG00000059752
ENSDART00000123163	ENSDARG00000087529
ENSDART00000021628	ENSDARG00000004160
ENSDART00000133388	ENSDARG00000025948
ENSDART00000078053	ENSDARG00000068404
ENSDART00000086608	ENSDARG00000061048
ENSDART00000138416	ENSDARG00000060306
ENSDART00000021925	ENSDARG00000031651
ENSDART00000027864	ENSDARG00000014569
ENSDART00000113031	ENSDARG00000024209
ENSDART00000047008	ENSDARG00000055759
ENSDART00000025120	ENSDARG00000021120
ENSDART00000115117	ENSDARG00000078904
ENSDART00000013933	ENSDARG00000008049
ENSDART00000142864	ENSDARG00000062137
ENSDART00000009499	ENSDARG00000026225
ENSDART00000025385	ENSDARG00000013704
ENSDART00000053282	ENSDARG00000036685
ENSDART00000055422	ENSDARG00000038024
ENSDART00000124544	ENSDARG00000010411
ENSDART00000023917	ENSDARG00000005126
ENSDART00000006147	ENSDARG00000033273
ENSDART00000039498	ENSDARG00000026806
ENSDART00000047740	ENSDARG00000029600
ENSDART00000105098	ENSDARG00000071197
ENSDART00000047660	ENSDARG00000032129
ENSDART00000045881	ENSDARG00000001129
ENSDART00000149896	ENSDARG00000076924
ENSDART00000017977	ENSDARG00000014986
ENSDART00000101269	ENSDARG00000032324
ENSDART00000073847	ENSDARG00000052073
ENSDART00000113243	ENSDARG00000079520
ENSDART00000054349	ENSDARG00000037353
ENSDART00000082165	ENSDARG00000078328
ENSDART00000134630	ENSDARG00000007808
ENSDART00000100782	ENSDARG00000069326
ENSDART00000075903	ENSDARG00000070261
ENSDART00000135959	ENSDARG00000059634
ENSDART00000050074	ENSDARG00000015179
ENSDART00000066053	ENSDARG00000044938
ENSDART00000074774	ENSDARG00000011027
ENSDART00000031547	ENSDARG00000056235
ENSDART00000054814	ENSDARG00000037634
ENSDART00000078908	ENSDARG00000056414
ENSDART00000009507	ENSDARG00000018985
ENSDART00000098390	ENSDARG00000040286
ENSDART00000037973	ENSDARG00000028539
ENSDART00000110270	ENSDARG00000037109
ENSDART00000081561	ENSDARG00000058660
ENSDART00000133659	ENSDARG00000070109
ENSDART00000083784	ENSDARG00000079623
ENSDART00000148995	ENSDARG00000045927
ENSDART00000059508	ENSDARG00000040644
ENSDART00000014152	ENSDARG00000018658
ENSDART00000062254	ENSDARG00000042456
ENSDART00000004655	ENSDARG00000017659
ENSDART00000003634	ENSDARG00000017809
ENSDART00000066363	ENSDARG00000045127
ENSDART00000142825	ENSDARG00000076744
ENSDART00000054843	ENSDARG00000037652
ENSDART00000066198	ENSDARG00000045027
ENSDART00000087047	ENSDARG00000061208
ENSDART00000090608	ENSDARG00000062558
ENSDART00000141808	ENSDARG00000057679
ENSDART00000092416	ENSDARG00000063321
ENSDART00000137798	ENSDARG00000095705
ENSDART00000079065	ENSDARG00000056559
ENSDART00000089274	ENSDARG00000062063
ENSDART00000146544	ENSDARG00000032431
ENSDART00000131681	ENSDARG00000000540
ENSDART00000051135	ENSDARG00000035282
ENSDART00000122098	ENSDARG00000028401
ENSDART00000149520	ENSDARG00000008363
ENSDART00000142306	ENSDARG00000002303
ENSDART00000036172	ENSDARG00000028699
ENSDART00000134491	ENSDARG00000053884
ENSDART00000147572	ENSDARG00000062469
ENSDART00000127755	ENSDARG00000070981
ENSDART00000047515	ENSDARG00000032373
ENSDART00000114544	ENSDARG00000076791
ENSDART00000028294	ENSDARG00000022564
ENSDART00000125632	ENSDARG00000062089
ENSDART00000003922	ENSDARG00000021991
ENSDART00000075080	ENSDARG00000053101
ENSDART00000044859	ENSDARG00000015538
ENSDART00000016369	ENSDARG00000009534
ENSDART00000078984	ENSDARG00000056480
ENSDART00000114522	ENSDARG00000077375
ENSDART00000109665	ENSDARG00000075559
ENSDART00000081367	ENSDARG00000058494
ENSDART00000031194	ENSDARG00000024693
ENSDART00000075407	ENSDARG00000053380
ENSDART00000125463	ENSDARG00000061385
ENSDART00000146879	ENSDARG00000067608
ENSDART00000052123	ENSDARG00000035905
ENSDART00000091570	ENSDARG00000062955
ENSDART00000099958	ENSDARG00000068967
ENSDART00000060888	ENSDARG00000041533
ENSDART00000080458	ENSDARG00000057723
ENSDART00000144807	ENSDARG00000077410
ENSDART00000103352	ENSDARG00000070433
ENSDART00000105925	ENSDARG00000071583
ENSDART00000147584	ENSDARG00000092074
ENSDART00000143807	ENSDARG00000016056
ENSDART00000078724	ENSDARG00000056270
ENSDART00000074971	ENSDARG00000053012
ENSDART00000025295	ENSDARG00000011511
ENSDART00000003195	ENSDARG00000007418
ENSDART00000087909	ENSDARG00000061553
ENSDART00000083656	ENSDARG00000052897
ENSDART00000149297	ENSDARG00000060796
ENSDART00000001444	ENSDARG00000001313
ENSDART00000018114	ENSDARG00000016163
ENSDART00000141975	ENSDARG00000044844
ENSDART00000102798	ENSDARG00000070178
ENSDART00000049462	ENSDARG00000026484
ENSDART00000082315	ENSDARG00000059244
ENSDART00000066368	ENSDARG00000045130
ENSDART00000144781	ENSDARG00000074071
ENSDART00000022581	ENSDARG00000015807
ENSDART00000063716	ENSDARG00000009046
ENSDART00000017966	ENSDARG00000008014
ENSDART00000121972	ENSDARG00000000442
ENSDART00000135821	ENSDARG00000054583
ENSDART00000112692	ENSDARG00000077155
ENSDART00000104107	ENSDARG00000070714
ENSDART00000100665	ENSDARG00000041140
ENSDART00000152027	ENSDARG00000077431
ENSDART00000103343	ENSDARG00000000588
ENSDART00000058351	ENSDARG00000039892
ENSDART00000137170	ENSDARG00000060861
ENSDART00000103100	ENSDARG00000070329
ENSDART00000075281	ENSDARG00000053263
ENSDART00000050445	ENSDARG00000031817
ENSDART00000064150	ENSDARG00000043687
ENSDART00000009347	ENSDARG00000014582
ENSDART00000136539	ENSDARG00000091271
ENSDART00000093199	ENSDARG00000063649
ENSDART00000078567	ENSDARG00000069386
ENSDART00000121488	ENSDARG00000058692
ENSDART00000023379	ENSDARG00000016656
ENSDART00000141393	ENSDARG00000055784
ENSDART00000022646	ENSDARG00000007639
ENSDART00000149021	ENSDARG00000086215
ENSDART00000099027	ENSDARG00000055232
ENSDART00000138541	ENSDARG00000076055
ENSDART00000007119	ENSDARG00000014761
ENSDART00000065671	ENSDARG00000044692
ENSDART00000090689	ENSDARG00000062585
ENSDART00000089325	ENSDARG00000060991
ENSDART00000015051	ENSDARG00000002760
ENSDART00000025841	ENSDARG00000011157
ENSDART00000058407	ENSDARG00000039931
ENSDART00000019252	ENSDARG00000017230
ENSDART00000054184	ENSDARG00000037245
ENSDART00000087067	ENSDARG00000061216
ENSDART00000063571	ENSDARG00000043302
ENSDART00000141146	ENSDARG00000094995
ENSDART00000136455	ENSDARG00000079263
ENSDART00000113036	ENSDARG00000076437
ENSDART00000053814	ENSDARG00000005448
ENSDART00000056721	ENSDARG00000038845
ENSDART00000150229	ENSDARG00000060058
ENSDART00000014222	ENSDARG00000012927
ENSDART00000011143	ENSDARG00000010169
ENSDART00000012048	ENSDARG00000020898
ENSDART00000054653	ENSDARG00000037532
ENSDART00000055148	ENSDARG00000037852
ENSDART00000005221	ENSDARG00000020964
ENSDART00000133650	ENSDARG00000022944
ENSDART00000131630	ENSDARG00000068920
ENSDART00000007066	ENSDARG00000016496
ENSDART00000138783	ENSDARG00000087893
ENSDART00000082319	ENSDARG00000059247
ENSDART00000003420	ENSDARG00000001912
ENSDART00000079158	ENSDARG00000056628
ENSDART00000049007	ENSDARG00000028786
ENSDART00000133420	ENSDARG00000003520
ENSDART00000137467	ENSDARG00000038686
ENSDART00000104112	ENSDARG00000007737
ENSDART00000008898	ENSDARG00000003200
ENSDART00000016612	ENSDARG00000038215
ENSDART00000051312	ENSDARG00000035406
ENSDART00000136531	ENSDARG00000053065
ENSDART00000129143	ENSDARG00000010563
ENSDART00000016167	ENSDARG00000018738
ENSDART00000035713	ENSDARG00000024827
ENSDART00000063392	ENSDARG00000043177
ENSDART00000020621	ENSDARG00000017681
ENSDART00000067600	ENSDARG00000045983
ENSDART00000137197	ENSDARG00000093423
ENSDART00000110366	ENSDARG00000003251
ENSDART00000077782	ENSDARG00000055426
ENSDART00000139980	ENSDARG00000060430
ENSDART00000076265	ENSDARG00000054122
ENSDART00000148239	ENSDARG00000070371
ENSDART00000111333	ENSDARG00000086405
ENSDART00000150149	ENSDARG00000073866
ENSDART00000037601	ENSDARG00000027428
ENSDART00000028090	ENSDARG00000093182
ENSDART00000144126	ENSDARG00000068926
ENSDART00000085087	ENSDARG00000060411
ENSDART00000143948	ENSDARG00000054799
ENSDART00000074495	ENSDARG00000052606
ENSDART00000104979	ENSDARG00000071149
ENSDART00000055961	ENSDARG00000038360
ENSDART00000054420	ENSDARG00000056984
ENSDART00000002846	ENSDARG00000007494
ENSDART00000148502	ENSDARG00000022466
ENSDART00000083010	ENSDARG00000055620
ENSDART00000018347	ENSDARG00000021374
ENSDART00000141699	ENSDARG00000059461
ENSDART00000006490	ENSDARG00000010779
ENSDART00000052185	ENSDARG00000035957
ENSDART00000058459	ENSDARG00000039957
ENSDART00000017153	ENSDARG00000013795
ENSDART00000038310	ENSDARG00000025555
ENSDART00000060853	ENSDARG00000041511
ENSDART00000053157	ENSDARG00000036592
ENSDART00000030835	ENSDARG00000027082
ENSDART00000103519	ENSDARG00000014113
ENSDART00000137915	ENSDARG00000006672
ENSDART00000151470	ENSDARG00000062884
ENSDART00000132249	ENSDARG00000026664
ENSDART00000033774	ENSDARG00000028448
ENSDART00000077420	ENSDARG00000055115
ENSDART00000104057	ENSDARG00000070689
ENSDART00000082454	ENSDARG00000059354
ENSDART00000101582	ENSDARG00000069681
ENSDART00000060949	ENSDARG00000041572
ENSDART00000129967	ENSDARG00000067958
ENSDART00000104031	ENSDARG00000070682
ENSDART00000137900	ENSDARG00000070543
ENSDART00000014058	ENSDARG00000015557
ENSDART00000075039	ENSDARG00000053070
ENSDART00000065556	ENSDARG00000044622
